name,disease,mnemonic,diseaseName
"TBX19",http://purl.uniprot.org/diseases/35,"IAD","A disorder that is characterized by adrenal insufficiency symptoms, such as weight loss, lack of appetite (anorexia), weakness, nausea, vomiting and low blood pressure (hypotension). The pituitary hormone ACTH is decreased or absent, and other cortisol and other steroid hormone levels in the blood are abnormally low."
"GNAS",http://purl.uniprot.org/diseases/1167,"AIMAH","A rare adrenal defect characterized by multiple, bilateral, non-pigmented, benign, adrenocortical nodules. It results in excessive production of cortisol leading to ACTH-independent Cushing syndrome. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes."
"GNAS",http://purl.uniprot.org/diseases/1167,"AIMAH","A rare adrenal defect characterized by multiple, bilateral, non-pigmented, benign, adrenocortical nodules. It results in excessive production of cortisol leading to ACTH-independent Cushing syndrome. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes."
"GNAS",http://purl.uniprot.org/diseases/1167,"AIMAH","A rare adrenal defect characterized by multiple, bilateral, non-pigmented, benign, adrenocortical nodules. It results in excessive production of cortisol leading to ACTH-independent Cushing syndrome. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes."
"GNAS",http://purl.uniprot.org/diseases/1167,"AIMAH","A rare adrenal defect characterized by multiple, bilateral, non-pigmented, benign, adrenocortical nodules. It results in excessive production of cortisol leading to ACTH-independent Cushing syndrome. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes."
"AIP",http://purl.uniprot.org/diseases/1168,"ASPA","A pituitary adenoma resulting in excessive production of adrenocorticotropic hormone. This leads to hypersecretion of cortisol by the adrenal glands and ACTH-dependent Cushing syndrome. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes."
"ALAD",http://purl.uniprot.org/diseases/36,"AHEPP","A form of porphyria. Porphyrias are inherited defects in the biosynthesis of heme, resulting in the accumulation and increased excretion of porphyrins or porphyrin precursors. They are classified as erythropoietic or hepatic, depending on whether the enzyme deficiency occurs in red blood cells or in the liver. AHP is characterized by attacks of gastrointestinal disturbances, abdominal colic, paralyses and peripheral neuropathy. Most attacks are precipitated by drugs, alcohol, caloric deprivation, infections, or endocrine factors."
"HMBS",http://purl.uniprot.org/diseases/37,"AIP","A form of porphyria. Porphyrias are inherited defects in the biosynthesis of heme, resulting in the accumulation and increased excretion of porphyrins or porphyrin precursors. They are classified as erythropoietic or hepatic, depending on whether the enzyme deficiency occurs in red blood cells or in the liver. AIP is an autosomal dominant form of hepatic porphyria characterized by attacks of gastrointestinal disturbances, abdominal colic, with neurological dysfunctions, hypertension, tachycardia and peripheral neuropathy. Most attacks are precipitated by drugs, alcohol, caloric deprivation, infections, or endocrine factors."
"ACAD9",http://purl.uniprot.org/diseases/1173,"ACAD9 deficiency","A metabolic disorder with variable manifestations that include dilated cardiomyopathy, liver failure, muscle weakness, neurologic dysfunction, hypoglycemia and Reye-like episodes (brain edema and vomiting that may rapidly progress to seizures, coma and death)."
"ACADM",http://purl.uniprot.org/diseases/1956,"ACADMD","An inborn error of mitochondrial fatty acid beta-oxidation which causes fasting hypoglycemia, hepatic dysfunction and encephalopathy, often resulting in death in infancy."
"ACADS",http://purl.uniprot.org/diseases/2301,"ACADSD","An inborn error of mitochondrial fatty acid beta-oxidation resulting in acute acidosis and muscle weakness in infants, and a form of lipid-storage myopathy in adults."
"ACADL",http://purl.uniprot.org/diseases/2411,"ACADVLD","An inborn error of mitochondrial fatty acid beta-oxidation which leads to impaired long-chain fatty acid beta-oxidation. It is clinically heterogeneous, with three major phenotypes: a severe childhood form characterized by early onset, high mortality and high incidence of cardiomyopathy; a milder childhood form with later onset, characterized by hypoketotic hypoglycemia, low mortality and rare cardiomyopathy; an adult form, with isolated skeletal muscle involvement, rhabdomyolysis and myoglobinuria, usually triggered by exercise or fasting."
"ACADVL",http://purl.uniprot.org/diseases/2411,"ACADVLD","An inborn error of mitochondrial fatty acid beta-oxidation which leads to impaired long-chain fatty acid beta-oxidation. It is clinically heterogeneous, with three major phenotypes: a severe childhood form characterized by early onset, high mortality and high incidence of cardiomyopathy; a milder childhood form with later onset, characterized by hypoketotic hypoglycemia, low mortality and rare cardiomyopathy; an adult form, with isolated skeletal muscle involvement, rhabdomyolysis and myoglobinuria, usually triggered by exercise or fasting."
"ARHGAP31",http://purl.uniprot.org/diseases/3194,"AOS1","A disorder characterized by the congenital absence of skin (aplasia cutis congenita) in combination with transverse limb defects. Aplasia cutis congenita can be located anywhere on the body, but in the vast majority of the cases, it is present on the posterior parietal region where it is often associated with an underlying defect of the parietal bones. Limb abnormalities are typically limb truncation defects affecting the distal phalanges or entire digits (true ectrodactyly). Only rarely, metatarsals/metacarpals or more proximal limb structures are also affected. Apart from transverse limb defects, syndactyly, most commonly of second and third toes, can also be observed. The clinical features are highly variable and can also include cardiovascular malformations, brain abnormalities and vascular defects such as cutis marmorata and dilated scalp veins."
"DOCK6",http://purl.uniprot.org/diseases/3223,"AOS2","A disorder characterized by the congenital absence of skin (aplasia cutis congenita) in combination with transverse limb defects. Aplasia cutis congenita can be located anywhere on the body, but in the vast majority of the cases, it is present on the posterior parietal region where it is often associated with an underlying defect of the parietal bones. Limb abnormalities are typically limb truncation defects affecting the distal phalanges or entire digits (true ectrodactyly). Only rarely, metatarsals/metacarpals or more proximal limb structures are also affected. Apart from transverse limb defects, syndactyly, most commonly of second and third toes, can also be observed. The clinical features are highly variable and can also include cardiovascular malformations, brain abnormalities and vascular defects such as cutis marmorata and dilated scalp veins."
"RBPJ",http://purl.uniprot.org/diseases/3522,"AOS3","An autosomal dominant form of Adams-Oliver syndrome, a disorder characterized by the congenital absence of skin (aplasia cutis congenita) in combination with transverse limb defects. Aplasia cutis congenita can be located anywhere on the body, but in the vast majority of the cases, it is present on the posterior parietal region where it is often associated with an underlying defect of the parietal bones. Limb abnormalities are typically limb truncation defects affecting the distal phalanges or entire digits (true ectrodactyly). Only rarely, metatarsals/metacarpals or more proximal limb structures are also affected. Apart from transverse limb defects, syndactyly, most commonly of second and third toes, can also be observed. The clinical features are highly variable and can also include cardiovascular malformations, brain abnormalities and vascular defects such as cutis marmorata and dilated scalp veins. AOS3 patients manifest characteristic vertex scalp defects and terminal limb defects, but without congenital heart defects, other associated defects, or immune defects."
"APRT",http://purl.uniprot.org/diseases/1188,"APRTD","An enzymatic deficiency that can lead to urolithiasis and renal failure. Patients have 2,8-dihydroxyadenine (DHA) urinary stones."
"AMPD3",http://purl.uniprot.org/diseases/38,"AMPDDE","A metabolic disorder due to lack of activity of the erythrocyte isoform of AMP deaminase. It is a clinically asymptomatic condition characterized by a 50% increase in steady-state levels of ATP in affected cells. Individuals with complete deficiency of erythrocyte AMP deaminase are healthy and have no hematologic disorders."
"AMPD1",http://purl.uniprot.org/diseases/39,"AMPDDM","A metabolic disorder resulting in exercise-related myopathy. It is characterized by exercise-induced muscle aches, cramps, and early fatigue."
"ADSL",http://purl.uniprot.org/diseases/40,"ADSL deficiency","An autosomal recessive disorder characterized by the accumulation in the body fluids of succinylaminoimidazole-carboxamide riboside (SAICA-riboside) and succinyladenosine (S-Ado). Most children display marked psychomotor delay, often accompanied by epilepsy or autistic features, or both, although some patients may be less profoundly retarded. Occasionally, growth retardation and muscular wasting are also present."
"SMARCAD1",http://purl.uniprot.org/diseases/3267,"ADERM","An autosomal dominant condition characterized by the lack of epidermal ridges on the palms and soles, which results in the absence of fingerprints, and is associated with a reduced number of sweat gland openings and reduced sweating of palms and soles."
"MPZ",http://purl.uniprot.org/diseases/1174,"ADIEP","A stationary, benign disorder characterized by tonic, sluggishly reacting pupil and hypoactive or absent tendon reflexes. Adie pupil is a characteristic of Charcot-Marie-Tooth disease type 2J."
"ADIPOQ",http://purl.uniprot.org/diseases/41,"ADPND","A condition that results in very low concentrations of plasma adiponectin."
"STAR",http://purl.uniprot.org/diseases/1407,"AH1","The most severe form of adrenal hyperplasia. It is a condition characterized by onset of profound adrenocortical insufficiency shortly after birth, hyperpigmentation reflecting increased production of pro-opiomelanocortin, elevated plasma renin activity as a consequence of reduced aldosterone synthesis, and male pseudohermaphroditism resulting from deficient fetal testicular testosterone synthesis. Affected individuals are phenotypic females irrespective of gonadal sex, and frequently die in infancy if mineralocorticoid and glucocorticoid replacement are not instituted."
"HSD3B2",http://purl.uniprot.org/diseases/42,"AH2","A form of congenital adrenal hyperplasia, a common recessive disease due to defective synthesis of cortisol. Congenital adrenal hyperplasia is characterized by androgen excess leading to ambiguous genitalia in affected females, rapid somatic growth during childhood in both sexes with premature closure of the epiphyses and short adult stature. Four clinical types: 'salt wasting' (SW, the most severe type), 'simple virilizing' (SV, less severely affected patients), with normal aldosterone biosynthesis, 'non-classic form' or late-onset (NC or LOAH)and 'cryptic' (asymptomatic). In AH2, virilization is much less marked or does not occur. AH2 is frequently lethal in early life."
"CYP21A2",http://purl.uniprot.org/diseases/43,"AH3","A form of congenital adrenal hyperplasia, a common recessive disease due to defective synthesis of cortisol. Congenital adrenal hyperplasia is characterized by androgen excess leading to ambiguous genitalia in affected females, rapid somatic growth during childhood in both sexes with premature closure of the epiphyses and short adult stature. Four clinical types: 'salt wasting' (SW, the most severe type), 'simple virilizing' (SV, less severely affected patients), with normal aldosterone biosynthesis, 'non-classic form' or late-onset (NC or LOAH)and 'cryptic' (asymptomatic)."
"CYP11B1",http://purl.uniprot.org/diseases/44,"AH4","A form of congenital adrenal hyperplasia, a common recessive disease due to defective synthesis of cortisol. Congenital adrenal hyperplasia is characterized by androgen excess leading to ambiguous genitalia in affected females, rapid somatic growth during childhood in both sexes with premature closure of the epiphyses and short adult stature. Four clinical types: 'salt wasting' (SW, the most severe type), 'simple virilizing' (SV, less severely affected patients), with normal aldosterone biosynthesis, 'non-classic form' or late-onset (NC or LOAH)and 'cryptic' (asymptomatic)."
"CYP17A1",http://purl.uniprot.org/diseases/45,"AH5","A form of congenital adrenal hyperplasia, a common recessive disease due to defective synthesis of cortisol. Congenital adrenal hyperplasia is characterized by androgen excess leading to ambiguous genitalia in affected females, rapid somatic growth during childhood in both sexes with premature closure of the epiphyses and short adult stature. Four clinical types: 'salt wasting' (SW, the most severe type), 'simple virilizing' (SV, less severely affected patients), with normal aldosterone biosynthesis, 'non-classic form' or late-onset (NC or LOAH)and 'cryptic' (asymptomatic)."
